coder,unique_id,long_cite,link,grammatical_class,paper_eligibility,short_cite,data_source,expt_num,plot_label,expt_condition,dependent_measure,response_mode,test_type,se,same_infant,language,mean_age,productive_vocab_mean,productive_vocab_median,population_type,sentence_structure,agent_argument_type,patient_argument_type,verb_type,stimuli_type,stimuli_modality,stimuli_actor,transitive_event_type,intransitive_event_type,presentation_type,character_identification,practice_phase,test_mass_or_distributed,n_train_test_pair,n_test_trial_per_pair,n_repetitions_sentence,n_repetitions_video,example_target_sentence,test_question,inclusion_certainty,note,n_1,x_1,x_2,x_2_raw,sd_1,sd_2,sd_2_raw,t,d,unique_infant,test_method,agent_argument_number,visual_stimuli_pair,adult_participant,data_source_clean,publication_year
anjie,hirsh-pasek1996,"Hirsh-Pasek, K., Golinkoff, R. M., & Naigles, L. (1996). Young children’s use of syntactic frames to derive meaning. The origins of grammar: Evidence from early language comprehension, 123-158.",https://drive.google.com/file/d/1232E8hBQHPpchgAT2P3wJ2gnSwKlDgza/view,verb,include,Hirsh-Pasek et al. (1996),imputed,6,"Hirsh-Pasek, Golinkoff, & Naigles, (1996) - 6a",transitive,looking_duration,looking,action,NA,11,English,882.76,NA,NA,typically_developing,transitive,noun,noun,fake_verb,video_non_person,video,non_person,direct_caused_action,parallel_actions,simultaneous,no,no,distributed,4,1,4,4,Find BB gorping CM!,Find BB gorping CM!,2,imputed from Naigles1996,20,0.553571428571429,0.5,NA,0.136538461538462,0.136538461538462,NA,NA,NA,unique_condition,look,1,direct_caused_action_parallel_actions,no,imputed,NA
anjie/molly,gertner2012,"Gertner, Y., & Fisher, C. (2012). Predicted errors in children’s early sentence comprehension. Cognition, 124(1), 85-94.",https://www.sciencedirect.com/science/article/abs/pii/S0010027712000601,verb,include,Gertner & Fisher (2012),figure_6,1,Gertner & Fisher (2012) - 1a,transitive_sentence,looking_duration,looking,action,0.0583333333333333,12,English,627.064,NA,28,typically_developing,transitive,noun,noun,fake_verb,video_person,video,person,indirect_caused_action,parallel_actions,simultaneous,yes,yes,distributed,2,2,5,2,The girl is pilking the boy,"NA",2,"NA",8,0.6,0.5,NA,0.169705627484771,0.169705627484771,NA,NA,NA,unique_condition,look,1,indirect_caused_action_parallel_actions,no,plot,2012
anjie/molly,gertner2012,"Gertner, Y., & Fisher, C. (2012). Predicted errors in children’s early sentence comprehension. Cognition, 124(1), 85-94.",https://www.sciencedirect.com/science/article/abs/pii/S0010027712000601,verb,include,Gertner & Fisher (2012),figure_6,1,Gertner & Fisher (2012) - 1b,agent_first,looking_duration,looking,action,0.0361111111111111,13,English,627.064,NA,28,typically_developing,intransitive,noun,INTRANSITIVE,fake_verb,video_person,video,person,indirect_caused_action,parallel_actions,simultaneous,yes,yes,distributed,2,2,5,2,The girl and the boy are pilking!,"NA",1,"intransitive is 2 nouns, and difficulty depends on videos in scene",8,0.381944444444444,0.5,NA,0.169705627484771,0.169705627484771,NA,NA,NA,unique_condition,look,2,indirect_caused_action_parallel_actions,no,plot,2012
anjie/molly,gertner2012,"Gertner, Y., & Fisher, C. (2012). Predicted errors in children’s early sentence comprehension. Cognition, 124(1), 85-94.",https://www.sciencedirect.com/science/article/abs/pii/S0010027712000601,verb,include,Gertner & Fisher (2012),figure_6,1,Gertner & Fisher (2012) - 1c,patient_first,looking_duration,looking,action,0.0472222222222222,14,English,627.064,NA,28,typically_developing,intransitive,noun,INTRANSITIVE,fake_verb,video_person,video,person,indirect_caused_action,parallel_actions,simultaneous,yes,yes,distributed,2,2,5,2,The boy and the girl are pilking!,"NA",1,"NA",8,0.565277777777778,0.5,NA,0.169705627484771,0.169705627484771,NA,NA,NA,unique_condition,look,2,indirect_caused_action_parallel_actions,no,plot,2012
anjie,gertner2012,"Gertner, Y., & Fisher, C. (2012). Predicted errors in children’s early sentence comprehension. Cognition, 124(1), 85-94.",https://www.sciencedirect.com/science/article/abs/pii/S0010027712000601,verb,include,Gertner & Fisher (2012),results_text,1,Gertner & Fisher (2012) - 1d,transitive_sentence,looking_duration,looking,action,0.03,15,English,940.596,NA,NA,typically_developing,transitive,noun,noun,fake_verb,video_person,video,person,indirect_caused_action,parallel_actions,simultaneous,yes,yes,distributed,2,2,5,2,The girl is pilking the boy,"NA",1,"NA",6,0.56,0.5,NA,0.146969384566991,0.146969384566991,NA,NA,NA,unique_condition,look,1,indirect_caused_action_parallel_actions,no,text/table,2012
anjie,gertner2012,"Gertner, Y., & Fisher, C. (2012). Predicted errors in children’s early sentence comprehension. Cognition, 124(1), 85-94.",https://www.sciencedirect.com/science/article/abs/pii/S0010027712000601,verb,include,Gertner & Fisher (2012),results_text,1,Gertner & Fisher (2012) - 1e,agent_first,looking_duration,looking,action,0.05,16,English,940.596,NA,NA,typically_developing,intransitive,noun,INTRANSITIVE,fake_verb,video_person,video,person,indirect_caused_action,parallel_actions,simultaneous,yes,yes,distributed,2,2,5,2,The girl and the boy are pilking!,"NA",1,"intransitive is 2 nouns, and difficulty depends on videos in scene",6,0.65,0.5,NA,0.146969384566991,0.146969384566991,NA,NA,NA,unique_condition,look,2,indirect_caused_action_parallel_actions,no,text/table,2012
anjie,gertner2012,"Gertner, Y., & Fisher, C. (2012). Predicted errors in children’s early sentence comprehension. Cognition, 124(1), 85-94.",https://www.sciencedirect.com/science/article/abs/pii/S0010027712000601,verb,include,Gertner & Fisher (2012),figure_6,2,Gertner & Fisher (2012) - 2a,transitive_sentence,looking_duration,looking,action,0.0263888888888889,17,English,633.152,NA,29.5,typically_developing,transitive,noun,noun,fake_verb,video_person,video,person,indirect_caused_action,parallel_actions,asynchronous,yes,yes,distributed,2,2,21,2,The girl is pilking the boy,"NA",2,"NA",8,0.563888888888889,0.5,NA,0.169705627484771,0.169705627484771,NA,NA,NA,unique_condition,look,1,indirect_caused_action_parallel_actions,no,plot,2012
anjie,gertner2012,"Gertner, Y., & Fisher, C. (2012). Predicted errors in children’s early sentence comprehension. Cognition, 124(1), 85-94.",https://www.sciencedirect.com/science/article/abs/pii/S0010027712000601,verb,include,Gertner & Fisher (2012),figure_6,2,Gertner & Fisher (2012) - 2b,agent_first,looking_duration,looking,action,0.0194444444444444,18,English,633.152,NA,29.5,typically_developing,intransitive,noun,INTRANSITIVE,fake_verb,video_person,video,person,indirect_caused_action,parallel_actions,asynchronous,yes,yes,distributed,2,2,21,2,The girl and the boy are pilking!,"NA",1,"intransitive is 2 nouns, and difficulty depends on videos in scene",8,0.370833333333333,0.5,NA,0.169705627484771,0.169705627484771,NA,NA,NA,unique_condition,look,2,indirect_caused_action_parallel_actions,no,plot,2012
anjie,gertner2012,"Gertner, Y., & Fisher, C. (2012). Predicted errors in children’s early sentence comprehension. Cognition, 124(1), 85-94.",https://www.sciencedirect.com/science/article/abs/pii/S0010027712000601,verb,include,Gertner & Fisher (2012),figure_6,2,Gertner & Fisher (2012) - 2c,patient_first,looking_duration,looking,action,0.0319444444444445,19,English,633.152,NA,29.5,typically_developing,intransitive,noun,INTRANSITIVE,fake_verb,video_person,video,person,indirect_caused_action,parallel_actions,asynchronous,yes,yes,distributed,2,2,21,2,The boy and the girl are pilking!,"NA",1,"intransitive is 2 nouns, and difficulty depends on videos in scene",8,0.577777777777778,0.5,NA,0.169705627484771,0.169705627484771,NA,NA,NA,unique_condition,look,2,indirect_caused_action_parallel_actions,no,plot,2012
anjie,he2020,"He, A. X., Huang, S., Waxman, S., & Arunachalam, S. (2020). Two-year-olds consolidate verb meanings during a nap. Cognition, 198, 104205.",https://reader.elsevier.com/reader/sd/pii/S001002772030024X?token=02503878CEB15BF77278EC5C399C67DB6C05F24619E47B377C90E3E161E184F5CD606796ACFC2D3E4871B90D3BE46E5C,verb,include,He et al. (2020),results_text,1,"He, Huang, Waxman, & Arunachalam (2020) - 1a",wake_condition_visit1,looking_duration,looking,action,NA,20,English,815.792,NA,NA,typically_developing,transitive,noun,noun,fake_verb,video_person,video,person,direct_caused_action,parallel_actions,asynchronous,no,no,distributed,4,1,8,2,They boy is going to moop the lady,Look! Where's mooping? Do you see mooping? Find mooping,2,"NA",21,0.43,0.5,NA,0.13,0.13,NA,NA,NA,unique_condition,look,1,direct_caused_action_parallel_actions,no,text/table,2020
anjie,he2020,"He, A. X., Huang, S., Waxman, S., & Arunachalam, S. (2020). Two-year-olds consolidate verb meanings during a nap. Cognition, 198, 104205.",https://reader.elsevier.com/reader/sd/pii/S001002772030024X?token=02503878CEB15BF77278EC5C399C67DB6C05F24619E47B377C90E3E161E184F5CD606796ACFC2D3E4871B90D3BE46E5C,verb,include,He et al. (2020),results_text,1,"He, Huang, Waxman, & Arunachalam (2020) - 1b",nap_condition_visit1,looking_duration,looking,action,NA,21,English,815.792,NA,NA,typically_developing,transitive,noun,noun,fake_verb,video_person,video,person,direct_caused_action,parallel_actions,asynchronous,no,no,distributed,4,1,8,2,They boy is going to moop the lady,Look! Where's mooping? Do you see mooping? Find mooping,2,"NA",21,0.41,0.5,NA,0.17,0.17,NA,NA,NA,unique_condition,look,1,direct_caused_action_parallel_actions,no,text/table,2020
izzy,jin2015,"Jin, K. S. (2015). The role of syntactic and discourse information in verb learning (Doctoral dissertation, University of Illinois at Urbana-Champaign).",https://www.ideals.illinois.edu/handle/2142/78435,verb,include,Jin (2015),results_text,1,Jin (2015) - 1a,no_bystander_transitive,looking_duration,looking,action,NA,22,English,471.82,NA,NA,typically_developing,transitive,pronoun,noun,fake_verb,animation_shape,animation,non_person,direct_caused_action,one_action,asynchronous,no,no,mass,1,2,17,2,He's kradding him!,Find kradding!,2,"NA",12,0.56,0.5,NA,0.16,0.16,NA,NA,NA,unique_condition,look,varying,direct_caused_action_one_action,no,text/table,2015
izzy,jin2015,"Jin, K. S. (2015). The role of syntactic and discourse information in verb learning (Doctoral dissertation, University of Illinois at Urbana-Champaign).",https://www.ideals.illinois.edu/handle/2142/78436,verb,include,Jin (2015),results_text,1,Jin (2015) - 1b,no_bystander_intransitive,looking_duration,looking,action,NA,23,English,471.82,NA,NA,typically_developing,intransitive,pronoun,INTRANSITIVE,fake_verb,animation_shape,animation,non_person,direct_caused_action,one_action,asynchronous,no,no,mass,1,2,17,2,He's kradding!,Find kradding!,2,"NA",12,0.6,0.5,NA,0.16,0.16,NA,NA,NA,unique_condition,look,varying,direct_caused_action_one_action,no,text/table,2015
izzy,jin2015,"Jin, K. S. (2015). The role of syntactic and discourse information in verb learning (Doctoral dissertation, University of Illinois at Urbana-Champaign).",https://www.ideals.illinois.edu/handle/2142/78437,verb,include,Jin (2015),results_text,1,Jin (2015) - 1c,no_bystander_transitive_ rep,looking_duration,looking,action,NA,24,English,453.556,NA,NA,typically_developing,transitive,pronoun,noun,fake_verb,animation_shape,animation,non_person,direct_caused_action,one_action,asynchronous,no,no,mass,1,2,17,2,He's kradding him!,Find kradding!,2,"NA",12,0.62,0.5,NA,0.1,0.1,NA,NA,NA,unique_condition,look,varying,direct_caused_action_one_action,no,text/table,2015
izzy,jin2015,"Jin, K. S. (2015). The role of syntactic and discourse information in verb learning (Doctoral dissertation, University of Illinois at Urbana-Champaign).",https://www.ideals.illinois.edu/handle/2142/78438,verb,include,Jin (2015),results_text,1,Jin (2015) - 1d,no_bystander_intransitive_rep,looking_duration,looking,action,NA,25,English,453.556,NA,NA,typically_developing,intransitive,pronoun,INTRANSITIVE,fake_verb,animation_shape,animation,non_person,direct_caused_action,one_action,asynchronous,no,no,mass,1,2,17,2,He's kradding!,Find kradding!,2,"NA",12,0.49,0.5,NA,0.11,0.11,NA,NA,NA,unique_condition,look,varying,direct_caused_action_one_action,no,text/table,2015
izzy,jin2015,"Jin, K. S. (2015). The role of syntactic and discourse information in verb learning (Doctoral dissertation, University of Illinois at Urbana-Champaign).",https://www.ideals.illinois.edu/handle/2142/78437,verb,include,Jin (2015),results_text,2,Jin (2015) - 2a,bystander_transitive,looking_duration,looking,action,NA,26,English,471.82,NA,NA,typically_developing,transitive,pronoun,noun,fake_verb,animation_shape,animation,non_person,direct_caused_action,parallel_actions,asynchronous,no,no,mass,1,2,17,2,He's kradding him!,Find kradding!,2,"NA",12,0.58,0.5,NA,0.18,0.18,NA,NA,NA,unique_condition,look,varying,direct_caused_action_parallel_actions,no,text/table,2015
izzy,jin2015,"Jin, K. S. (2015). The role of syntactic and discourse information in verb learning (Doctoral dissertation, University of Illinois at Urbana-Champaign).",https://www.ideals.illinois.edu/handle/2142/78438,verb,include,Jin (2015),results_text,2,Jin (2015) - 2b,bystander_intransitive,looking_duration,looking,action,NA,27,English,471.82,NA,NA,typically_developing,intransitive,pronoun,INTRANSITIVE,fake_verb,animation_shape,animation,non_person,direct_caused_action,parallel_actions,asynchronous,no,no,mass,1,2,17,2,He's kradding!,Find kradding!,2,"NA",12,0.63,0.5,NA,0.19,0.19,NA,NA,NA,unique_condition,look,varying,direct_caused_action_parallel_actions,no,text/table,2015
izzy,jin2015,"Jin, K. S. (2015). The role of syntactic and discourse information in verb learning (Doctoral dissertation, University of Illinois at Urbana-Champaign).",https://www.ideals.illinois.edu/handle/2142/78439,verb,include,Jin (2015),results_text,3,Jin (2015) - 3a,it_transitive,looking_duration,looking,action,NA,28,English,578.36,NA,17,typically_developing,transitive,pronoun,noun,fake_verb,animation_shape,animation,non_person,direct_caused_action,parallel_actions,asynchronous,no,no,mass,1,3,13,3,The cat lorped the bunny!,it's lorping it!,2,"NA",16,0.56,0.5,NA,0.09,0.09,NA,NA,NA,unique_condition,look,varying,direct_caused_action_parallel_actions,no,text/table,2015
izzy,jin2015,"Jin, K. S. (2015). The role of syntactic and discourse information in verb learning (Doctoral dissertation, University of Illinois at Urbana-Champaign).",https://www.ideals.illinois.edu/handle/2142/78440,verb,include,Jin (2015),results_text,3,Jin (2015) - 3b,it_intransitive,looking_duration,looking,action,NA,29,English,578.36,NA,17,typically_developing,intransitive,pronoun,INTRANSITIVE,fake_verb,animation_shape,animation,non_person,direct_caused_action,parallel_actions,asynchronous,no,no,mass,1,3,13,3,The cat lorped!,it's lorping!,2,"NA",16,0.53,0.5,NA,0.14,0.14,NA,NA,NA,unique_condition,look,varying,direct_caused_action_parallel_actions,no,text/table,2015
anjie,jin2015,"Jin, K. S. (2015). The role of syntactic and discourse information in verb learning (Doctoral dissertation, University of Illinois at Urbana-Champaign).",https://www.ideals.illinois.edu/handle/2142/78440,verb,include,Jin (2015),results_text,6,Jin (2015) - 6a,same_verb_intransitive,looking_duration,looking,action,NA,30,English,1269.348,NA,90,typically_developing,intransitive,pronoun,INTRANSITIVE,fake_verb,video_person,video,person,indirect_caused_action,parallel_actions,asynchronous,no,yes,mass,1,3,10,3,She is pilking!,Find pilking!,2,"NA",16,0.49,0.5,NA,0.12,0.12,NA,NA,NA,unique_condition,look,varying,indirect_caused_action_parallel_actions,no,text/table,2015
anjie,jin2015,"Jin, K. S. (2015). The role of syntactic and discourse information in verb learning (Doctoral dissertation, University of Illinois at Urbana-Champaign).",https://www.ideals.illinois.edu/handle/2142/78440,verb,include,Jin (2015),table_3,7,Jin (2015) - 6b,coherent_intransitive,looking_duration,looking,action,NA,31,English,1217.6,NA,81,typically_developing,intransitive,pronoun,INTRANSITIVE,fake_verb,video_person,video,person,direct_caused_action,parallel_actions,asynchronous,no,yes,mass,1,1,12,1,she is pilking?,find pilking! where's pilking?,NA,"NA",24,0.529411764705882,0.5,NA,0.181818181818182,0.181818181818182,NA,NA,NA,unique_condition,look,varying,direct_caused_action_parallel_actions,no,text/table,2015
anjie,jin2015,"Jin, K. S. (2015). The role of syntactic and discourse information in verb learning (Doctoral dissertation, University of Illinois at Urbana-Champaign).",https://www.ideals.illinois.edu/handle/2142/78440,verb,include,Jin (2015),results_text,8,Jin (2015) - 6c,coherent_intransitive_2,looking_duration,looking,action,NA,32,English,992.344,NA,59,typically_developing,intransitive,pronoun,INTRANSITIVE,fake_verb,video_person,video,person,direct_caused_action,parallel_actions,asynchronous,no,yes,mass,1,1,12,1,she is pilking?,find pilking! where's pilking?,2,"NA",16,0.55,0.5,NA,0.18,0.18,NA,NA,NA,unique_condition,look,varying,direct_caused_action_parallel_actions,no,text/table,2015
anjie,jin2015,"Jin, K. S. (2015). The role of syntactic and discourse information in verb learning (Doctoral dissertation, University of Illinois at Urbana-Champaign).",https://www.ideals.illinois.edu/handle/2142/78440,verb,include,Jin (2015),results_text,8,Jin (2015) - 6d,coherent_intransitive_3,looking_duration,looking,action,NA,33,English,1278.48,NA,82.5,typically_developing,intransitive,pronoun,INTRANSITIVE,fake_verb,video_person,video,person,direct_caused_action,parallel_actions,asynchronous,no,yes,mass,1,1,12,1,she is pilking?,find pilking! where's pilking?,2,"NA",15,0.49,0.5,NA,0.14,0.14,NA,NA,NA,unique_condition,look,varying,direct_caused_action_parallel_actions,no,text/table,2015
anjie,jyotishi,"Jyotishi, M. & Naigles, L. (2017) Syntactic Bootstrapping: 28-month olds can shift between transitive and intransitive frames. Poster presented at the 14th International Congress for the Study of Child Language, Lyons, France.",poster,verb,include,Jyotishi & Naigles (2017),results_figure,1,"Jyotishi & Naigles, poster - 1a",transitive,looking_duration,looking,action,NA,naigles2011,English,875.15,456.06,NA,typically_developing,transitive,noun,noun,fake_verb,video_person,video,non_person,direct_caused_action,parallel_actions,simultaneous,yes,no,distributed,2,2,3,6,Oh Look! The duck is gorping the bunny!,Find gorping,2,"NA",17,0.53,0.5,0.42,0.1671,0.1671,0.1456,NA,NA,not_unique,look,1,direct_caused_action_parallel_actions,no,plot,NA
anjie,jyotishi,"Jyotishi, M. & Naigles, L. (2017) Syntactic Bootstrapping: 28-month olds can shift between transitive and intransitive frames. Poster presented at the 14th International Congress for the Study of Child Language, Lyons, France.",poster,verb,include,Jyotishi & Naigles (2017),results_figure,1,"Jyotishi & Naigles, poster - 1b",intransitive,looking_duration,looking,action,NA,naigles2011,English,875.15,456.06,NA,typically_developing,intransitive,noun,INTRANSITIVE,fake_verb,video_person,video,non_person,direct_caused_action,parallel_actions,simultaneous,yes,no,distributed,2,2,3,6,Oh Look! The duck and bunny are zubbing!,Find zubbing!,2,"NA",17,0.565465838509317,0.5,0.509503105590062,0.164867685426761,0.164867685426761,0.204546268656716,NA,NA,not_unique,look,2,direct_caused_action_parallel_actions,no,plot,NA
izzy,messenger2014,"Messenger, K., Yuan, S., & Fisher, C. (2015). Learning verb syntax via listening: New evidence from 22-month-olds. Language Learning and Development, 11(4), 356-368.",https://www.tandfonline.com/doi/full/10.1080/15475441.2014.978331?scroll=top&needAccess=true,verb,include,"Messenger, Yuan, & Fisher (2015)",figure_2,1,"Messenger, Yuan, & Fisher (2015) - 1a",same_transitive,looking_duration,looking,action,NA,36,English,684.9,NA,38,typically_developing,transitive,pronoun,noun,fake_verb,video_person,video,person,direct_caused_action,parallel_actions,asynchronous,no,yes,mass,1,2,16,2,And Bill was blicking the duck.,Find X-ing!,2,"NA",8,0.679780420860018,0.5,NA,0.2,0.2,NA,NA,NA,unique_condition,look,varying,direct_caused_action_parallel_actions,no,plot,2014
